歌名,风格,语言,备注,切片
阿楚姑娘,流行,国语,,https://www.bilibili.com/video/BV1d44y1U7gz/
阿刁,流行,国语,,
阿拉斯加海湾,流行,国语,,https://www.bilibili.com/video/BV1G8411p7CR/
爱久见人心,流行,国语,,
爱你,流行,国语,,https://www.bilibili.com/video/BV1z8411V71L/
爱囚,流行,国语,,
爱无反顾,流行,国语,,https://www.bilibili.com/video/BV1Fg411W7M9/
爱要坦荡荡,流行,国语,,
暗香,音乐剧,国语,,https://www.bilibili.com/video/BV1Xe411F79j/
白鸽,流行,国语,,
白羊,流行,国语,,
半壶纱,古风,国语,,
贝加尔湖畔,流行,国语,,https://www.bilibili.com/video/BV11d4y1x7Ch/
背对背拥抱,流行,国语,,
碧波摇篮曲,童年回忆,国语,,
别看我只是一只羊,童年回忆,国语,,https://www.bilibili.com/video/BV1U14y1N7t4/
不分手的恋爱,流行,国语,,
不老梦,古风,国语,,https://www.bilibili.com/video/BV1624y1m7Mh/
不能说的秘密,流行,国语,,
不怕,童年回忆,国语,,
不染,古风,国语,,
不痛,流行,国语,,
不问天,古风,国语,,
不再联系,流行,国语,,
不醉不会,流行,国语,,
彩色的黑,流行,国语,,
参商,古风,国语,,
尘埃,古风,国语,,
尘曦,童年回忆,国语,,
趁早,流行,国语,,
赤伶,古风,国语,,https://www.bilibili.com/video/BV143411X7En/
传说有个魔仙堡,童年回忆,国语,,
吹梦到西洲,古风,国语,,
春暖花开,流行,国语,,
春天的芭蕾,流行,国语,大航海限定,
匆匆那年,流行,国语,,
从前的我,童年回忆,国语,,
从前慢,流行,国语,,
从前说,流行,国语,,
大家一起喜羊羊,童年回忆,国语,,https://www.bilibili.com/video/BV1jV4y1c7jV/
大眠,流行,国语,,
大雾,流行,国语,,
大鱼,流行,国语,,https://www.bilibili.com/video/BV1XR4y1k7LF/
当时,音乐剧,国语,,https://www.bilibili.com/video/BV1re411N7jp/
挡我者是我,流行,国语,,
到不了,流行,国语,,
倒带,流行,国语,,
等你的季节,古风,国语,,
东风志,古风,国语,,
冬眠,流行,国语,,
独家记忆,流行,国语,,
对不起我爱你,流行,国语,,
多情种,古风,国语,,
多远都要在一起,流行,国语,,
繁华梦,古风,国语,,https://www.bilibili.com/video/BV17W4y1K722/
风萤月,古风,国语,,https://www.bilibili.com/video/BV1GA411R7dQ/
风之咏,古风,国语,,
浮生未歇,古风,国语,,https://www.bilibili.com/video/BV1yA411D7HX/
腐草为萤,古风,国语,,
告白气球,流行,国语,,https://www.bilibili.com/video/BV18M41117qp/
搁浅,流行,国语,,
歌者,流行,国语,,https://www.bilibili.com/video/BV1EP411T7wZ/
勾指起誓,流行,国语,,
孤勇者,流行,国语,,
故梦,古风,国语,,
关键词,流行,国语,,
光的方向,流行,国语,,
光年之外,流行,国语,,
和你一样,流行,国语,,
红豆,流行,国语,,
红梅白雪知,古风,国语,,https://www.bilibili.com/video/BV15g41147Dy/
红色高跟鞋,流行,国语,,
红颜劫,古风,国语,,
红颜旧,古风,国语,,
红叶寺,古风,国语,,
后会无期,流行,国语,,
